lead_id,predicted_prob_won
1.0,0.994302727136304
15.0,0.9853484335799025
8.0,0.8890567180655496
22.0,0.8859362887463098
43.0,0.8731436005612524
29.0,0.8378480096063223
50.0,0.7514662206257772
14.0,0.6112639321944824
36.0,0.4780745560108155
4.0,0.473306377325917
32.0,0.3820296601211875
21.0,0.24936204831834524
11.0,0.1368757855431315
25.0,0.12253718631763864
39.0,0.11452318446375359
46.0,0.10180321083144961
7.0,0.07788079820252672
3.0,0.0766491527567267
42.0,0.057554272311056004
28.0,0.03633237891537257
35.0,0.030229243547687867
18.0,0.02438368301136217
49.0,0.016286932369260262
