lead_id,predicted_prob_won
1.0,0.8734866976737976
21.0,0.8734866976737976
46.0,0.8734866976737976
43.0,0.8734866976737976
39.0,0.8734866976737976
36.0,0.8734866976737976
32.0,0.8734866976737976
29.0,0.8734866976737976
22.0,0.8734866976737976
25.0,0.8734866976737976
15.0,0.8734866976737976
14.0,0.8734866976737976
11.0,0.8734866976737976
8.0,0.8734866976737976
4.0,0.8734866976737976
50.0,0.8734866976737976
18.0,0.12651333212852478
3.0,0.12651333212852478
28.0,0.12651333212852478
35.0,0.12651333212852478
42.0,0.12651333212852478
7.0,0.12651333212852478
49.0,0.12651333212852478
